Driver;Team;FastestLap;AvgLapTime;StdDevLapTime;TotalLaps;Cluster
LEC;Ferrari;91.992;97.58540571;1.964880129;175;2
ANT;Mercedes;92.803;97.57485714;1.494118275;154;2
PIA;McLaren;92.861;98.49950215;1.853060001;233;2
NOR;McLaren;92.871;98.21705952;1.753752038;168;2
VER;Red Bull Racing;93.109;98.06661712;1.618276375;222;2
RUS;Mercedes;93.197;98.13190083;1.694134621;242;2
HAM;Ferrari;93.408;98.39049686;1.560104794;159;2
GAS;Alpine;93.421;99.09313986;2.07700369;143;0
BEA;Haas F1 Team;93.487;99.6956747;1.937272524;166;0
BOR;Audi;93.755;99.32323457;2.075344774;162;0
COL;Alpine;93.818;99.42404571;2.271320703;175;0
HUL;Audi;93.987;99.18935366;1.462977305;164;3
LIN;Racing Bulls;94.149;100.5182475;1.805167698;198;3
OCO;Haas F1 Team;94.201;99.25844388;1.727448659;196;3
HAD;Red Bull Racing;94.26;98.50201504;1.894347242;133;0
SAI;Williams;94.342;100.1447674;2.343905756;129;0
LAW;Racing Bulls;94.532;100.1121494;1.600593231;174;3
ALB;Williams;94.555;100.1963867;2.239718488;150;0
BOT;Cadillac;95.29;101.5878839;1.744216526;155;3
PER;Cadillac;95.369;101.7323243;1.648735405;185;3
STR;Aston Martin;95.974;102.0576078;2.523148594;51;1
ALO;Aston Martin;96.536;101.1847;1.820955716;90;1
